# GSEA gene sets with FDR < 0.05 in ALS-Glia subtype
GSEA_category	source	details	NES	FDR_qval	FWER_pval
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	KEGG pathways		-1.6174722	0.030254915	0.483
HALLMARK_PANCREAS_BETA_CELLS	MSigDB Hallmark gene sets		-1.651612	0.007511211	0.028
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	KEGG pathways		-1.6624179	0.020940855	0.356
KEGG_MELANOGENESIS	KEGG pathways		-1.6648701	0.02148402	0.352
HALLMARK_SPERMATOGENESIS	MSigDB Hallmark gene sets		-1.6694323	0.009189897	0.023
KEGG_GAP_JUNCTION	KEGG pathways		-1.686688	0.018553225	0.304
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	KEGG pathways		-1.6999965	0.017229574	0.276
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	KEGG pathways		-1.7034051	0.017568517	0.268
KEGG_DILATED_CARDIOMYOPATHY	KEGG pathways		-1.7148346	0.016421493	0.244
KEGG_CITRATE_CYCLE_TCA_CYCLE	KEGG pathways		-1.7289294	0.01521627	0.216
KEGG_PROTEASOME	KEGG pathways		-1.7653191	0.011053048	0.153
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG pathways		-1.8003502	0.009031025	0.117
KEGG_OOCYTE_MEIOSIS	KEGG pathways		-1.8156707	0.007975028	0.098
KEGG_GNRH_SIGNALING_PATHWAY	KEGG pathways		-1.876373	0.003883598	0.044
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	KEGG pathways		-1.8957813	0.0028315745	0.03
KEGG_LONG_TERM_DEPRESSION	KEGG pathways		-1.9007396	0.0029114825	0.028
KEGG_TYPE_II_DIABETES_MELLITUS	KEGG pathways		-1.9213161	0.0016177282	0.014
KEGG_HUNTINGTONS_DISEASE	KEGG pathways		-2.0975747	0	0
KEGG_ALZHEIMERS_DISEASE	KEGG pathways		-2.1556063	0	0
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	KEGG pathways		-2.185996	0	0
KEGG_CALCIUM_SIGNALING_PATHWAY	KEGG pathways		-2.263687	0	0
KEGG_LONG_TERM_POTENTIATION	KEGG pathways		-2.3432398	0	0
HALLMARK_OXIDATIVE_PHOSPHORYLATION	MSigDB Hallmark gene sets		-2.3703263	0	0
KEGG_PARKINSONS_DISEASE	KEGG pathways		-2.4093754	0	0
KEGG_OXIDATIVE_PHOSPHORYLATION	KEGG pathways		-2.5345752	0	0
KEGG_CARDIAC_MUSCLE_CONTRACTION	KEGG pathways		-2.5703976	0	0
