# GSEA gene sets with FDR < 0.05 in ALS-TE subtype
GSEA_category	source	details	NES	FDR_qval	FWER_pval
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG pathways		-1.6591305	0.023436267	0.358
KEGG_SPHINGOLIPID_METABOLISM	KEGG pathways		-1.6696002	0.021562638	0.325
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	KEGG pathways		-1.6873808	0.01897494	0.291
KEGG_TYPE_I_DIABETES_MELLITUS	KEGG pathways		-1.7006189	0.017513294	0.264
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	KEGG pathways		-1.7006773	0.01809707	0.264
KEGG_PYRUVATE_METABOLISM	KEGG pathways		-1.7041737	0.018339368	0.262
KEGG_ALLOGRAFT_REJECTION	KEGG pathways		-1.7058357	0.0188681	0.26
HALLMARK_INTERFERON_GAMMA_RESPONSE	MSigDB Hallmark gene sets		-1.7065964	5.28E-04	0.005
KEGG_NUCLEOTIDE_EXCISION_REPAIR	KEGG pathways		-1.7186658	0.016958628	0.231
HALLMARK_BILE_ACID_METABOLISM	MSigDB Hallmark gene sets		-1.724081	2.78E-04	0.002
KEGG_TRYPTOPHAN_METABOLISM	KEGG pathways		-1.734304	0.015622739	0.208
KEGG_OOCYTE_MEIOSIS	KEGG pathways		-1.7586818	0.013079734	0.171
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	KEGG pathways		-1.7587236	0.013624721	0.171
KEGG_MISMATCH_REPAIR	KEGG pathways		-1.7626046	0.01407821	0.169
KEGG_PANCREATIC_CANCER	KEGG pathways		-1.7889705	0.011739381	0.135
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	KEGG pathways		-1.7912734	0.012120323	0.133
HALLMARK_APOPTOSIS	MSigDB Hallmark gene sets		-1.7925661	1.75E-04	0.001
HALLMARK_HEME_METABOLISM	MSigDB Hallmark gene sets		-1.797533	1.85E-04	0.001
KEGG_P53_SIGNALING_PATHWAY	KEGG pathways		-1.8145052	0.010674561	0.112
HALLMARK_PI3K_AKT_MTOR_SIGNALING	MSigDB Hallmark gene sets		-1.8228877	1.96E-04	0.001
HALLMARK_COMPLEMENT	MSigDB Hallmark gene sets		-1.8385979	2.08E-04	0.001
KEGG_ASTHMA	KEGG pathways		-1.8657827	0.0062131598	0.064
HALLMARK_INFLAMMATORY_RESPONSE	MSigDB Hallmark gene sets		-1.8687005	2.22E-04	0.001
HALLMARK_CHOLESTEROL_HOMEOSTASIS	MSigDB Hallmark gene sets		-1.8720043	2.38E-04	0.001
HALLMARK_KRAS_SIGNALING_UP	MSigDB Hallmark gene sets		-1.8804519	2.56E-04	0.001
HALLMARK_TNFA_SIGNALING_VIA_NFKB	MSigDB Hallmark gene sets		-1.9214225	2.78E-04	0.001
HALLMARK_ALLOGRAFT_REJECTION	MSigDB Hallmark gene sets		-1.9415301	3.03E-04	0.001
KEGG_GRAFT_VERSUS_HOST_DISEASE	KEGG pathways		-1.9533848	0.0025549084	0.025
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG pathways		-1.9577323	0.002491712	0.023
KEGG_CELL_CYCLE	KEGG pathways		-1.9686539	0.0024087362	0.021
TREM2_DAM_UP	Keren-Schaul et al. Cell 2017	Top 200 genes upregulated in TREM2 disease-associated microglia (vs microglia from controls)	-1.9794024	0	0
KEGG_RNA_DEGRADATION	KEGG pathways		-2.0259378	8.42E-04	0.007
KEGG_PEROXISOME	KEGG pathways		-2.0476604	3.68E-04	0.003
KEGG_PROPANOATE_METABOLISM	KEGG pathways		-2.0477583	3.96E-04	0.003
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	MSigDB Hallmark gene sets		-2.0801032	0	0
KEGG_ALZHEIMERS_DISEASE	KEGG pathways		-2.0819643	2.91E-04	0.002
HALLMARK_G2M_CHECKPOINT	MSigDB Hallmark gene sets		-2.0831826	0	0
HALLMARK_ADIPOGENESIS	MSigDB Hallmark gene sets		-2.118752	0	0
KEGG_CITRATE_CYCLE_TCA_CYCLE	KEGG pathways		-2.159084	0	0
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	KEGG pathways		-2.1640687	0	0
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG pathways		-2.1963904	0	0
KEGG_HUNTINGTONS_DISEASE	KEGG pathways		-2.2061582	0	0
SOD1MUT_DAM_UP	Chiu et al. Cell Reports 2013	Top 200genes upregulated in SOD1 mutant microglia	-2.241881	0	0
HALLMARK_FATTY_ACID_METABOLISM	MSigDB Hallmark gene sets		-2.2564452	0	0
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	KEGG pathways		-2.3517077	0	0
KEGG_PROTEASOME	KEGG pathways		-2.4232984	0	0
HALLMARK_ANDROGEN_RESPONSE	MSigDB Hallmark gene sets		-2.4360983	0	0
HALLMARK_E2F_TARGETS	MSigDB Hallmark gene sets		-2.4585948	0	0
KEGG_SPLICEOSOME	KEGG pathways		-2.4705617	0	0
KEGG_PROTEIN_EXPORT	KEGG pathways		-2.5387259	0	0
SOD1MUT_DAM_DOWN	Chiu et al. Cell Reports 2013	Top 200genes downregulated in SOD1 mutant microglia	-2.5563912	0	0
HALLMARK_MTORC1_SIGNALING	MSigDB Hallmark gene sets		-2.642113	0	0
KEGG_PARKINSONS_DISEASE	KEGG pathways		-2.6584506	0	0
KEGG_OXIDATIVE_PHOSPHORYLATION	KEGG pathways		-2.7416544	0	0
HALLMARK_PROTEIN_SECRETION	MSigDB Hallmark gene sets		-2.9951975	0	0
HALLMARK_OXIDATIVE_PHOSPHORYLATION	MSigDB Hallmark gene sets		-2.9960642	0	0
KEGG_RIBOSOME	KEGG pathways		-3.1634817	0	0
HALLMARK_MYC_TARGETS_V1	MSigDB Hallmark gene sets		-3.255369	0	0
